time;PC1;PC2;PC3;sum
2,09;0,013790885459863856;0,010524839363565856;0,035544074456677115;0,059859799280106825
2,1;0,011764950938009488;0,010914001238473657;0,028602693202550048;0,051281645379033194
2,11;0,011330296797251626;0,01004147524686742;0,023770696782559175;0,04514246882667822
2,12;0,016444150404864064;0,006512334231577694;0,032439322935512674;0,055395807571954434
2,13;0,018613819053465014;0,0032114071635158787;0,03699266652014021;0,0588178927371211
2,14;0,018384131960079;0,001519333576957881;0,036619130918771385;0,05652259645580827
2,15;0,019015864556998;0,001385257057654171;0,03658251440788352;0,05698363602253569
2,16;0,020499778438717257;0,0017356774991124527;0,03733183780948248;0,05956729374731219
2,17;0,01621621146861777;0,010576964625169915;0,029497535000040768;0,05629071109382845
2,18;0,012441598950166033;0,012262438674646985;0,017038768037951797;0,041742805662764816
2,19;0,017493695936774512;0,014425609792243905;0,025241202097157148;0,057160507826175565
2,2;0,022856688160596585;0,014594820847059868;0,030307326467866623;0,06775883547552308
2,21;0,025761756007552098;0,015248190652914212;0,03645938640572686;0,07746933306619316
2,22;0,02669653303874436;0,013594475815933704;0,038777022009511636;0,0790680308641897
2,23;0,027378655074716863;0,009674171268856023;0,04245417237132061;0,0795069987148935
2,24;0,02610027303682683;0,0052331835211491635;0,044363290466392036;0,07569674702436803
2,25;0,0268419900374507;0,0023272511688615044;0,04544851816758285;0,07461775937389506
2,26;0,026509802520574867;0,0010407248206347236;0,046408186441279344;0,07395871378248893
2,27;0,008770919692528132;0,0025087799502969865;0,016458409290858133;0,027738108933683253
2,28;0,001984777367019979;0,0027913129761921456;0,004587771698280822;0,009363862041492947
2,29;0,0016615429921515092;0,0021694312867667105;0,004486684405550315;0,008317658684468534
2,3;0,0032902196673182207;0,0003586885192501583;0,0067853131508377445;0,010434221337406124
2,31;0,006301629048121615;0,00025024026427744595;0,007756974870673767;0,014308844183072829
2,32;0,018995517523320637;0,0030242654789160318;0,02685188280206424;0,04887166580430091
2,33;0,019513447042999073;0,006920790368062027;0,030465298515126395;0,056899535926187496
2,34;0,025634138709975465;0,011731272478216816;0,04120912911963594;0,07857454030782822
2,35;0,02592516605104148;0,014426603173731928;0,04132328165573749;0,08167505088051089
2,36;0,02541496058643734;0,018410731777019244;0,03936170092975242;0,08318739329320901
2,37;0,025224303955389528;0,022028760398641992;0,037445281200140686;0,08469834555417222
2,38;0,026655917137768638;0,023716055942919284;0,04035388072387955;0,09072585380456746
2,39;0,025481066045492034;0,021531736898584848;0,04137025694787194;0,08838305989194882
2,4;0,022734140604668513;0,016675866117356667;0,041440176442422226;0,0808501831644474
2,41;0,01761113236419179;0,01104539894702322;0,034526671161419255;0,06318320247263426
2,42;0,01703238254140053;0,011405682127734632;0,029506022398743465;0,057944087067878625
2,43;0,013866654606453248;0,013254569597512297;0,019918145651156977;0,047039369855122526
2,44;0,018322701402023463;0,021803265241005704;0,024099621772985653;0,06422558841601482
2,45;0,024115366608755413;0,023849901849742606;0,034520501341032614;0,08248576979953064
2,46;0,01874179933902556;0,015115787662090895;0,02643482837057168;0,06029241537168814
2,47;0,016892397960566217;0,0056744797670713575;0,022464974664793518;0,04503185239243109
2,48;0,008333811384630747;0,006688270130494354;0,01002719579639521;0,02504927731152031
2,49;0,007917973963138718;0,009773378153325858;0,00783123952678911;0,025522591643253684
2,5;0,016382715886080364;0,01633847684051255;0,020066490313716462;0,052787683040309376
2,51;0,023615813875543235;0,012876553114516019;0,04102402175112724;0,07751638874118649
2,52;0,027033017274293997;0,003731633997339568;0,05393108043463242;0,08469573170626599
2,53;0,0055007703867488555;0,005318402143533857;0,013853163005995482;0,024672335536278192
2,54;0,005429015112194205;0,005088271572224333;0,013044627957090002;0,02356191464150854
2,55;0,019540053242142152;0,0041538674013972465;0,025875204737452317;0,049569125380991716
2,56;0,02820876936386668;0,00024298375644602344;0,032308649941294044;0,06076040306160675
2,57;0,029072662360611033;0,0014518647191590379;0,037213707103489445;0,06773823418325951
2,58;0,03189829057680964;0,0025470584130278086;0,04521551360571198;0,07966086259554943
2,59;0,03366938408358081;0,003554759926923156;0,050391905333179166;0,08761604934368314
2,6;0,03270077459919279;0,0028415789544560996;0,050704166971748225;0,08624652052539711
2,61;0,034207963647648346;0,002701931589893467;0,05254250316873024;0,08945239840627206
2,62;0,03262564806243707;0,0013770423644646997;0,05113332067286921;0,08513601109977098
2,63;0,029802256793856553;8,67863144325132e-05;0,04783097310584144;0,07772001621413051
2,64;0,02915554213192166;0,00018594120920141917;0,04857944676692657;0,07792093010804965
2,65;0,03170992408478016;0,0006616173019696709;0,05257284599767926;0,08494438738442908
2,66;0,03257517407083795;0,0010340941169284664;0,05406300060447093;0,08767226879223736
2,67;0,02787786446605913;0,004916235296171901;0,043256314740740376;0,07605041450297141
2,68;0,02511986158119816;0,007515559102015437;0,03807530530928626;0,07071072599249986
2,69;0,026092059597550718;0,0073523576988735045;0,04190107118017273;0,07534548847659694
