time,2022-11-08 Beg13_MBS_TGr.D,2022-11-08 Beg14_MBS_TGr_4.3.D,2022-11-08 Beg25_SBF_TGr.D,2022-11-08 Beg26_SBF_TGr.D,2022-11-08 Beg27_SBF_TGr_4.3.D,2022-11-08 Beg37_SB_TGr.D,2022-11-08 Beg38_SB_TGr.D,2022-11-08 Beg39_SB_TGr_4.3.D,2022-11-08 Beg61_BfrM_TGr.D,2022-11-11 Beg43_BS_TGr_4.5.D,2022-11-11 Beg44_BS_TGr_4.3.D,2022-11-11 Beg66_BfrM_TGr_4.5.D,2022-11-16 Beg34_SBF_TGr_4.4.D,2022-11-30 Beg36_BfrM_Tgr_5.D,2022-11-30 Beg43_SB_TGr_5.D,2022-12-13 Beg62_BfrM_TGr_4.5.D,2022-12-13 Beg63_BfrM_TGr_4.5.D,2022-12-14 Beg15_MBS_TGr_4.5.D,2022-12-14 Beg16_MBS_TGr_4.5.D,2022-12-14 Beg27_SBF_TGr_4.5.D,2022-12-14 Beg28_SBF_TGr_4.5.D,2022-12-14 Beg39_SB_TGr_4.5.D,2022-12-14 Beg40_SB_TGr_4.5.D,2022-12-14 Beg54_S_TGr_4.5.D,2022-12-14 Beg64_BfrM_TGr_4.5.D,2022-12-14 Beg65_BfrM_TGr_4.5.D,2022-12-15 Beg17_MBS_TGr_4.5.D,2022-12-15 Beg29_SBF_TGr_4.5.D,2022-12-15 Beg41_SB_TGr_4.5.D,2022-12-15 Beg4_SM_TGr_9.D,2022-12-15 Beg55_S_TGr_9.D,2022-12-15 Beg5_SM_TGr_9.D,2022-12-15 Beg66_BfrM_TGr_4.5.D
2.19,253423.75,389389.375,278258.375,244677.375,560562.875,250845.875,311706.875,368067.375,775799.25,377560.85714285716,594833.0,502196.28571428574,328556.71428571426,185228.0,140788.42857142858,122568.0,150276.75,155519.85714285713,111841.57142857143,200505.2857142857,164221.0,217221.25,239270.14285714287,175792.2857142857,72276.42857142857,150188.14285714287,142342.14285714287,161068.42857142858,113085.71428571429,79330.28571428571,78038.0,119472.14285714286,110659.57142857143
2.2,283836.28571428574,518909.71428571426,274426.28571428574,266897.85714285716,511835.4285714286,282245.14285714284,363019.85714285716,394334.14285714284,651343.0,383032.5,597728.125,510281.5,329906.875,157462.125,130328.625,94103.25,113389.875,120046.75,90559.5,154145.75,134736.875,157659.125,171443.375,145656.625,78152.375,120097.375,132711.625,127085.75,97951.375,77345.0,129410.375,129413.625,93194.0
2.21,367579.875,504211.125,276323.625,304258.375,434909.0,257917.5,361113.375,459530.125,515411.0,378049.71428571426,604588.0,442517.14285714284,278534.5714285714,159705.7142857143,127818.28571428571,77817.85714285714,87118.14285714286,97927.71428571429,77786.42857142857,125214.28571428571,113089.0,130108.57142857143,138503.57142857142,123462.0,75990.85714285714,104321.57142857143,98568.71428571429,101284.0,89373.85714285714,67647.42857142857,113726.85714285714,98832.71428571429,81363.85714285714
2.22,367674.0,472298.85714285716,276660.14285714284,304676.4285714286,433524.0,264744.0,373505.28571428574,441008.0,449516.28571428574,383380.0,606543.375,406311.25,283320.75,136692.25,118219.875,70881.75,74649.125,81814.625,66914.625,104878.5,100022.0,108220.25,119891.0,108094.5,68924.625,91834.875,90638.625,90721.625,74562.125,63185.375,100233.875,87762.875,72768.625
2.23,334328.375,444546.375,275725.375,293192.0,391345.25,326110.875,356958.5,414277.5,394716.75,382498.28571428574,566858.7142857143,367661.28571428574,375644.71428571426,106194.42857142857,104272.14285714286,59990.25,63746.142857142855,72611.57142857143,60244.0,94473.14285714286,91086.85714285714,89367.28571428571,102342.0,94956.875,60203.71428571428,78098.14285714286,78099.42857142857,73515.28571428571,62777.857142857145,60251.125,91250.57142857143,76177.0,60856.857142857145
2.24,309449.625,414125.25,263388.875,275683.75,322608.0,405604.75,302209.25,392641.14285714284,341517.375,350237.375,543658.5,344511.0,342485.375,107300.0,101720.0,55358.857142857145,59977.125,65721.125,53016.75,83193.125,79933.5,81273.125,90451.0,89826.28571428571,54381.375,68165.0,62332.75,67694.5,60670.375,59277.57142857143,86762.625,72464.875,58496.375
2.25,275546.85714285716,386416.85714285716,253610.42857142858,258237.85714285713,291997.85714285716,369714.14285714284,278443.0,351121.5,334249.4285714286,324616.25,487810.625,326425.14285714284,269647.125,97346.57142857143,93534.875,50305.625,59074.857142857145,58566.25,49239.125,72930.75,66323.0,68640.71428571429,78209.625,81499.75,48734.75,57686.75,58023.25,67681.0,52049.875,54081.75,84268.57142857143,72588.125,50817.5
2.26,262769.5,376892.0,231446.0,252026.125,297549.25,343329.5,257480.25,321718.5,322414.25,289199.28571428574,465035.28571428574,296358.75,254450.2857142857,80734.375,79061.14285714286,42502.142857142855,51860.5,52938.28571428572,45115.42857142857,63817.857142857145,59855.142857142855,60056.375,67003.0,69431.57142857143,42681.142857142855,49032.142857142855,55847.71428571428,56785.875,43962.42857142857,45624.28571428572,70664.375,63239.57142857143,45696.0
2.27,249615.57142857142,395077.4285714286,231309.57142857142,228338.85714285713,271506.0,300918.0,235700.42857142858,315667.28571428574,280427.28571428574,265698.125,445099.5,268770.625,249573.25,70310.125,72245.125,37650.25,43134.625,52632.0,43980.0,63829.75,64497.25,57616.125,58047.875,67005.875,37790.625,45945.25,45128.875,51261.0,42855.625,42040.875,58143.5,53031.5,44932.375
2.28,232534.125,437068.75,317961.125,213060.5,246553.25,269568.5,216212.25,293412.625,267052.75,253456.14285714287,456838.4285714286,261382.14285714287,224144.7142857143,72809.57142857143,74921.14285714286,37414.857142857145,43779.0,81498.85714285714,66473.28571428571,85961.28571428571,108279.28571428571,63967.28571428572,63203.28571428572,66294.57142857143,38976.71428571428,46609.42857142857,39559.0,48467.857142857145,48751.28571428572,43368.71428571428,54494.857142857145,51144.28571428572,49870.857142857145
2.29,218598.0,404098.14285714284,408845.4285714286,202754.42857142858,240163.85714285713,253603.85714285713,217296.85714285713,272021.14285714284,259163.0,305049.75,570998.25,294732.25,202622.125,116503.75,115467.5,68113.5,63951.125,118153.625,98270.75,117479.625,130710.625,100947.875,104883.0,93122.0,58634.875,71469.875,40802.125,64396.375,97283.375,82024.0,59733.625,60804.375,92313.625
2.3,208802.25,354735.5,308396.875,210494.625,259722.125,302888.875,248561.0,259930.375,345183.625,438146.0,570952.2857142857,419707.71428571426,191017.85714285713,162427.0,145665.7142857143,93004.75,96666.0,79701.42857142857,66879.28571428571,84689.42857142857,85968.28571428571,109583.85714285714,122703.28571428571,111927.875,85255.28571428571,101687.42857142857,75636.14285714286,114746.14285714286,116843.85714285714,122629.42857142857,107782.0,123875.57142857143,98742.14285714286
2.31,249014.625,337204.875,228970.14285714287,305981.75,349879.75,483209.5714285714,335766.5,256663.2857142857,500509.28571428574,371784.75,455716.625,372616.0,202594.25,108165.75,96122.75,60960.42857142857,71389.625,52781.875,46303.25,61508.125,62569.75,68526.375,79904.625,77367.85714285714,58489.5,70334.875,126453.375,101353.75,64948.0,75567.0,119682.375,136429.625,55444.625
2.32,332830.71428571426,323174.85714285716,203107.375,327199.28571428574,334751.14285714284,444027.625,274535.4285714286,325848.0,377518.125,258388.0,417361.625,276547.28571428574,265193.125,78223.71428571429,72269.875,39921.375,47144.42857142857,53331.875,45337.25,59269.875,68413.375,55396.42857142857,60652.5,60938.625,39926.625,47383.5,77774.875,56687.142857142855,45261.875,45747.75,70343.57142857143,67625.0,41722.625
2.33,280680.125,329444.75,199830.625,245819.375,265780.625,289225.875,217216.875,347256.625,297278.125,235080.0,432093.14285714284,251697.375,264297.4285714286,81263.75,71388.0,38530.57142857143,44668.375,68871.85714285714,49001.57142857143,68477.0,78251.85714285714,62912.125,63101.71428571428,54200.71428571428,38542.857142857145,43873.71428571428,43860.28571428572,51730.375,44899.57142857143,40064.28571428572,50496.0,48151.142857142855,41335.142857142855
2.34,212176.42857142858,333130.28571428574,192964.0,223147.14285714287,279910.28571428574,279010.5714285714,217120.7142857143,274741.28571428574,343319.85714285716,238414.125,441634.0,260055.75,207062.0,95716.5,74578.125,43714.125,50982.5,71402.375,55004.875,77380.875,82544.625,70729.25,71233.25,51208.25,39085.375,49254.5,49385.0,58558.625,51190.875,39504.25,47489.125,45297.25,44069.0
2.35,209803.375,338926.5,203990.5,230518.25,316298.75,302301.625,238284.125,270134.125,392142.25,245051.7142857143,439724.85714285716,271618.14285714284,222576.7142857143,108463.85714285714,79172.85714285714,49721.71428571428,61830.142857142855,77140.42857142857,59495.57142857143,96069.0,88766.85714285714,82581.0,81035.71428571429,50950.142857142855,40617.0,57746.71428571428,64108.57142857143,67533.71428571429,57702.42857142857,39952.28571428572,42775.71428571428,45941.0,50587.0
2.36,219671.14285714287,327320.5714285714,203847.85714285713,234980.0,321572.14285714284,312136.85714285716,242101.2857142857,287867.71428571426,418981.4285714286,257267.375,456656.5,288930.25,236933.75,117144.25,90918.375,55943.75,64186.375,77387.5,66015.5,99434.25,92107.875,92525.0,92952.25,56263.75,46825.375,64406.0,70437.75,75366.875,67300.625,48925.75,47090.375,50835.375,58027.375
2.37,225652.625,317633.625,202503.75,230036.375,323125.125,320281.75,254173.375,295637.25,442082.75,278980.28571428574,460667.5714285714,302540.14285714284,236349.57142857142,130495.71428571429,118297.57142857143,60006.42857142857,65931.0,147731.57142857142,57761.0,119079.71428571429,137537.0,95845.42857142857,93732.28571428571,53913.125,49021.857142857145,68470.57142857143,78871.42857142857,79592.0,68590.71428571429,48111.71428571428,52311.57142857143,55082.42857142857,52352.0
2.38,222756.25,313538.5,194853.7142857143,223182.375,341605.0,344728.4285714286,272497.125,288988.28571428574,453899.28571428574,276787.875,412495.125,292957.25,237824.0,115348.5,99859.125,55560.625,61554.25,138290.0,56165.75,165538.875,137971.5,167093.625,158012.0,119768.0,43338.625,58580.5,82347.375,76135.5,57255.5,43579.5,52289.0,53220.0,45623.25
2.39,238341.14285714287,321744.4285714286,189934.625,216661.57142857142,349388.4285714286,341155.25,256358.42857142858,294175.0,407303.625,234929.57142857142,400291.125,266727.5714285714,281964.875,94846.28571428571,84615.5,63487.125,55544.28571428572,101393.875,78839.0,129929.625,108949.375,145512.2857142857,148403.42857142858,125383.5,39079.75,72000.375,123535.75,92250.57142857143,81419.14285714286,46567.625,119619.28571428571,92281.125,43495.5
2.4,222739.25,349871.5,189210.0,192741.875,308041.25,281167.75,219874.625,292811.375,396727.0,221576.125,456743.85714285716,245503.5,327710.14285714284,109324.75,101194.71428571429,84605.57142857143,73700.75,77403.57142857143,72259.28571428571,103174.71428571429,89180.85714285714,113514.375,117182.25,99216.14285714286,36140.857142857145,92423.28571428571,117463.57142857143,110846.25,85578.0,72414.42857142857,122070.5,109639.0,65226.28571428572
2.41,199562.57142857142,369103.14285714284,228690.14285714287,180341.85714285713,350849.4285714286,347354.5714285714,198349.57142857142,259653.85714285713,424372.14285714284,228272.125,460861.25,273487.75,282087.875,99047.25,95322.125,71240.375,67552.375,68242.875,66201.75,108237.25,91630.125,93115.375,95144.5,82054.625,43686.125,78193.25,88533.25,91497.375,72169.25,61432.375,93441.125,87006.375,62006.875
2.42,185930.625,369540.5,277737.875,177244.75,308185.125,353968.5,240741.375,242549.25,361822.25,267386.85714285716,616497.5714285715,309128.28571428574,264004.71428571426,102191.28571428571,97109.28571428571,78537.71428571429,64399.28571428572,93998.71428571429,82567.28571428571,177555.42857142858,138019.85714285713,102732.71428571429,99764.28571428571,66770.0,56756.142857142855,90418.0,71330.42857142857,77806.14285714286,72543.71428571429,52124.857142857145,75785.57142857143,68063.0,76958.71428571429
2.43,212446.0,342423.71428571426,286387.71428571426,194032.7142857143,271002.4285714286,324427.5714285714,270694.85714285716,293452.4285714286,336326.4285714286,340969.375,839167.0,387342.0,221916.875,160579.125,132620.875,122878.875,84317.5,105213.25,83275.25,196712.875,128293.375,137979.875,145882.125,61576.0,86652.75,142172.375,66642.0,98477.125,95864.125,47618.25,65086.625,60129.875,114653.875
2.44,227031.0,309939.625,242816.375,242960.125,353462.875,392622.875,381434.75,281952.875,427148.0,412280.28571428574,676093.2857142857,457128.71428571426,197435.0,164921.0,137525.7142857143,132687.2857142857,94858.71428571429,70964.85714285714,60345.57142857143,117710.0,77454.71428571429,112881.71428571429,133453.0,56439.57142857143,92164.14285714286,141878.7142857143,112716.28571428571,135715.0,88982.85714285714,44928.71428571428,59946.142857142855,54531.0,100418.28571428571
2.45,249636.25,286890.5,212330.42857142858,315591.5714285714,561977.5,547948.8571428572,466057.0,295252.5714285714,468846.4285714286,341362.875,452802.25,351617.625,290519.375,112728.0,94987.875,80530.5,66232.5,46107.5,47292.125,75699.75,59212.875,69844.75,82050.375,52167.375,62183.125,86605.25,146295.0,98844.75,63491.0,39977.375,55904.0,48696.5,64394.5
